Epochs| Batch | Loss | Acc |
--------------------------------BANANCED DATA 1:1
2	100	0.885	0.763
2	30	0.477	0.782
2	10	0.494	0.763
2	50	0.473	0.778
3	30	0.942	0.758
2	2000	0.689	0.570
--------------------------------ALL DATA
2	30	0.413	0.819
2	90	0.401	0.819
2	100	0.394	0.839 -> TOP
2	120	0.387	0.834
4	100	0.462	0.825
4	500	0.456	0.821
